day_id,priorities_assigned,snapshot_batch_submitted,batch_submissions_completed,unique_epochs,unique_signers,validator_count,completion_rate_pct
31,7200,7020,6842,7200,10,10,97.4644
32,7200,6879,6800,7200,10,10,98.8516
33,7200,6976,6896,7200,10,10,98.8532
34,7200,7006,6923,7200,10,10,98.8153
35,7200,6969,6883,7200,10,10,98.766
36,7200,6967,6894,7200,10,10,98.9522
37,7200,6993,6949,7200,8,10,99.3708
38,7200,7048,6997,7200,8,10,99.2764
39,7200,6980,6923,7200,10,10,99.1834
40,7200,6970,6913,7200,10,10,99.1822
41,7200,7028,6967,7200,10,10,99.132
42,7200,7006,6918,7200,10,10,98.7439
43,7200,6849,6752,7200,10,10,98.5837
44,7200,6969,6899,7200,10,10,98.9956
45,7200,7126,7083,7200,10,10,99.3966
46,7200,7094,7047,7200,10,10,99.3375
47,7200,7153,7092,7200,10,10,99.1472
48,7200,7150,7121,7200,10,10,99.5944
49,6490,6171,6126,6490,10,10,99.2708
50,7136,7032,7003,7136,10,10,99.5876
51,7200,7145,7098,7200,10,10,99.3422
52,7200,7137,7086,7200,10,10,99.2854
53,7200,7123,7068,7200,10,10,99.2279
54,7200,7125,7075,7200,10,10,99.2982
55,7200,7059,7006,7200,12,10,99.2492
56,7200,7070,7014,7200,12,10,99.2079
57,7200,7096,7037,7200,10,10,99.1685
58,7200,7091,7025,7200,10,10,99.0692
59,7200,7091,7042,7200,10,10,99.309
60,7200,7114,7071,7200,10,10,99.3956
